Dev2/ai0	Dev2/ai1	Dev2/ai2	Dev2/ai3	Dev2/ai4	Dev2/ai5	Dev2/ai6	Dev2/ai7	Dev2/ai8	Dev2/ai9	Dev2/ai10	Dev2/ai11	Dev2/ai12	Dev2/ai13	Dev2/ai14	Dev2/ai15	
8300
-5.372314e+000	0.000000e+000	8.828735e-001	1.094666e+000	1.582031e+000	1.231995e+000	1.340027e+000	1.632385e+000	8.153992e+000	4.206238e+000	2.336121e+000	1.601868e+000	1.543884e+000	1.182861e+000	0.000000e+000	7.574463e-001	
-3.638306e+000	0.000000e+000	6.774902e-001	1.020813e+000	1.416321e+000	1.316223e+000	1.318665e+000	1.577148e+000	6.127625e+000	4.916992e+000	3.078308e+000	2.021179e+000	1.656189e+000	1.336060e+000	0.000000e+000	5.624390e-001	
-2.424011e+000	0.000000e+000	5.239868e-001	9.304810e-001	1.283875e+000	1.332092e+000	1.311951e+000	1.542053e+000	4.638977e+000	4.920654e+000	3.627014e+000	2.488708e+000	1.875916e+000	1.500854e+000	-3.051758e-004	4.272461e-001	
-1.568604e+000	0.000000e+000	3.958130e-001	8.255005e-001	1.167603e+000	1.307983e+000	1.301880e+000	1.519165e+000	3.547974e+000	4.564819e+000	3.916626e+000	2.911377e+000	2.159424e+000	1.696472e+000	0.000000e+000	3.338623e-001	
-9.625244e-001	0.000000e+000	2.847290e-001	7.080078e-001	1.053772e+000	1.259460e+000	1.280212e+000	1.499939e+000	2.749634e+000	4.057007e+000	3.971252e+000	3.229370e+000	2.458191e+000	1.921387e+000	0.000000e+000	2.673340e-001	
-5.322266e-001	0.000000e+000	1.898193e-001	5.828857e-001	9.356689e-001	1.191406e+000	1.244202e+000	1.477966e+000	2.165833e+000	3.513489e+000	3.847046e+000	3.417053e+000	2.728271e+000	2.159424e+000	0.000000e+000	2.209473e-001	
-2.261353e-001	0.000000e+000	1.107788e-001	4.568481e-001	8.105469e-001	1.105042e+000	1.191711e+000	1.448364e+000	1.737671e+000	2.995911e+000	3.602600e+000	3.476563e+000	2.938843e+000	2.388611e+000	0.000000e+000	1.873779e-001	
-1.129150e-002	0.000000e+000	4.791260e-002	3.363037e-001	6.799316e-001	1.003113e+000	1.123047e+000	1.407471e+000	1.421509e+000	2.534180e+000	3.291016e+000	3.424988e+000	3.073425e+000	2.590027e+000	0.000000e+000	1.629639e-001	
1.379395e-001	0.000000e+000	0.000000e+000	2.267456e-001	5.487061e-001	8.874512e-001	1.038208e+000	1.353760e+000	1.184998e+000	2.136841e+000	2.951355e+000	3.286438e+000	3.128662e+000	2.747192e+000	3.051758e-004	1.446533e-001	
2.365112e-001	-3.051758e-004	-3.479004e-002	1.321411e-001	4.208374e-001	7.626343e-001	9.399414e-001	1.286926e+000	1.004028e+000	1.802368e+000	2.611389e+000	3.086853e+000	3.108215e+000	2.850342e+000	0.000000e+000	1.303101e-001	
2.972412e-001	3.051758e-004	-5.828857e-002	5.371094e-002	3.012085e-001	6.332397e-001	8.306885e-001	1.206360e+000	8.615112e-001	1.525269e+000	2.288513e+000	2.850342e+000	3.023987e+000	2.897644e+000	0.000000e+000	1.193237e-001	
3.286743e-001	0.000000e+000	-7.293701e-002	-7.934570e-003	1.937866e-001	5.041504e-001	7.138062e-001	1.114807e+000	7.455444e-001	1.296082e+000	1.992188e+000	2.595825e+000	2.889099e+000	2.889709e+000	-3.051758e-004	1.104736e-001	
3.369141e-001	0.000000e+000	-8.087158e-002	-5.401611e-002	1.004028e-001	3.808594e-001	5.938721e-001	1.013794e+000	6.475830e-001	1.106567e+000	1.726990e+000	2.338562e+000	2.718201e+000	2.833252e+000	0.000000e+000	1.037598e-001	
3.271484e-001	0.000000e+000	-8.331299e-002	-8.636475e-002	2.258301e-002	2.667236e-001	4.751587e-001	9.066772e-001	5.621338e-001	9.487915e-001	1.493225e+000	2.088318e+000	2.524109e+000	2.734985e+000	3.051758e-004	9.857178e-002	
3.036499e-001	-3.051758e-004	-8.239746e-002	-1.071167e-001	-3.997803e-002	1.641846e-001	3.610229e-001	7.965088e-001	4.852295e-001	8.160400e-001	1.288757e+000	1.852112e+000	2.317200e+000	2.604980e+000	-3.051758e-004	9.429932e-002	
2.706909e-001	0.000000e+000	-7.934570e-002	-1.187134e-001	-8.789063e-002	7.598877e-002	2.542114e-001	6.860352e-001	4.147339e-001	7.025146e-001	1.111755e+000	1.634216e+000	2.107544e+000	2.452087e+000	0.000000e+000	9.185791e-002	
2.307129e-001	0.000000e+000	-7.476807e-002	-1.229858e-001	-1.229858e-001	2.441406e-003	1.580811e-001	5.789185e-001	3.503418e-001	6.042480e-001	9.582520e-001	1.435852e+000	1.901550e+000	2.283936e+000	0.000000e+000	8.972168e-002	
1.864624e-001	0.000000e+000	-6.958008e-002	-1.223755e-001	-1.464844e-001	-5.737305e-002	7.324219e-002	4.779053e-001	2.911377e-001	5.187988e-001	8.248901e-001	1.257324e+000	1.704102e+000	2.108154e+000	-3.051758e-004	8.911133e-002	
1.403809e-001	0.000000e+000	-6.469727e-002	-1.181030e-001	-1.611328e-001	-1.028442e-001	9.155273e-004	3.851318e-001	2.365112e-001	4.428101e-001	7.086182e-001	1.097412e+000	1.517944e+000	1.929626e+000	3.051758e-004	8.941650e-002	
9.490967e-002	0.000000e+000	-5.950928e-002	-1.116943e-001	-1.675415e-001	-1.367188e-001	-5.889893e-002	3.018188e-001	1.873779e-001	3.753662e-001	6.066895e-001	9.555054e-001	1.345520e+000	1.754761e+000	3.051758e-004	9.033203e-002	
5.065918e-002	-3.051758e-004	-5.432129e-002	-1.034546e-001	-1.693726e-001	-1.599121e-001	-1.065063e-001	2.285767e-001	1.437378e-001	3.158569e-001	5.178833e-001	8.297729e-001	1.187134e+000	1.585083e+000	3.051758e-004	9.185791e-002	
9.155273e-003	-3.051758e-004	-5.035400e-002	-9.460449e-002	-1.657104e-001	-1.739502e-001	-1.428223e-001	1.660156e-001	1.052856e-001	2.627563e-001	4.391479e-001	7.180786e-001	1.042480e+000	1.423950e+000	3.051758e-004	9.368896e-002	
-2.868652e-002	3.051758e-004	-4.608154e-002	-8.575439e-002	-1.596069e-001	-1.809692e-001	-1.693726e-001	1.138306e-001	7.232666e-002	2.160645e-001	3.704834e-001	6.195068e-001	9.121704e-001	1.272888e+000	0.000000e+000	9.552002e-002	
-6.195068e-002	0.000000e+000	-4.211426e-002	-7.720947e-002	-1.516724e-001	-1.818848e-001	-1.870728e-001	7.202148e-002	4.425049e-002	1.754761e-001	3.097534e-001	5.322266e-001	7.946777e-001	1.132507e+000	0.000000e+000	9.826660e-002	
-9.063721e-002	0.000000e+000	-3.875732e-002	-6.866455e-002	-1.422119e-001	-1.785278e-001	-1.977539e-001	3.997803e-002	2.105713e-002	1.403809e-001	2.572632e-001	4.550171e-001	6.890869e-001	1.002808e+000	-3.051758e-004	1.004028e-001	
-1.147461e-001	-3.051758e-004	-3.601074e-002	-6.072998e-002	-1.321411e-001	-1.715088e-001	-2.020264e-001	1.556396e-002	2.746582e-003	1.104736e-001	2.108765e-001	3.872681e-001	5.944824e-001	8.843994e-001	-3.051758e-004	1.022339e-001	
-1.342773e-001	0.000000e+000	-3.295898e-002	-5.371094e-002	-1.217651e-001	-1.626587e-001	-2.014160e-001	-1.220703e-003	-1.159668e-002	8.575439e-002	1.708984e-001	3.277588e-001	5.108643e-001	7.766724e-001	0.000000e+000	1.046753e-001	
-1.498413e-001	-3.051758e-004	-3.051758e-002	-4.699707e-002	-1.123047e-001	-1.522827e-001	-1.974487e-001	-1.129150e-002	-2.197266e-002	6.500244e-002	1.367188e-001	2.761841e-001	4.364014e-001	6.793213e-001	0.000000e+000	1.065063e-001	
-1.614380e-001	-3.051758e-004	-2.838135e-002	-4.089355e-002	-1.022339e-001	-1.409912e-001	-1.898193e-001	-1.586914e-002	-2.929688e-002	4.821777e-002	1.077271e-001	2.310181e-001	3.707886e-001	5.914307e-001	0.000000e+000	1.083374e-001	
-1.696777e-001	0.000000e+000	-2.593994e-002	-3.509521e-002	-9.277344e-002	-1.293945e-001	-1.812744e-001	-1.708984e-002	-3.356934e-002	3.570557e-002	8.361816e-002	1.919556e-001	3.131104e-001	5.130005e-001	3.051758e-004	1.095581e-001	
-1.745605e-001	0.000000e+000	-2.410889e-002	-2.990723e-002	-8.392334e-002	-1.177979e-001	-1.712036e-001	-1.403809e-002	-3.601074e-002	2.563477e-002	6.378174e-002	1.589966e-001	2.624512e-001	4.428101e-001	0.000000e+000	1.110840e-001	
-1.773071e-001	-3.051758e-004	-2.227783e-002	-2.502441e-002	-7.568359e-002	-1.058960e-001	-1.599121e-001	-8.850098e-003	-3.601074e-002	1.892090e-002	4.791260e-002	1.309204e-001	2.188110e-001	3.808594e-001	0.000000e+000	1.119995e-001	
-1.779175e-001	0.000000e+000	-2.075195e-002	-2.105713e-002	-6.835938e-002	-9.490967e-002	-1.480103e-001	-1.525879e-003	-3.540039e-002	1.403809e-002	3.509521e-002	1.074219e-001	1.809692e-001	3.262329e-001	0.000000e+000	1.132202e-001	
