Dev2/ai0	Dev2/ai1	Dev2/ai2	Dev2/ai3	Dev2/ai4	Dev2/ai5	Dev2/ai6	Dev2/ai7	Dev2/ai8	Dev2/ai9	Dev2/ai10	Dev2/ai11	Dev2/ai12	Dev2/ai13	Dev2/ai14	Dev2/ai15	
9200
-2.188110e-001	1.092529e-001	-6.500244e-002	-8.789063e-002	-1.162720e-001	-1.071167e-001	-1.287842e-001	3.723145e-002	6.591797e-002	7.934570e-002	4.150391e-002	4.394531e-002	2.136230e-002	3.295898e-002	0.000000e+000	1.187134e-001	
-2.017212e-001	4.852295e-002	-2.929688e-002	-6.408691e-002	-1.065063e-001	-1.016235e-001	-1.266479e-001	3.814697e-002	4.241943e-002	7.598877e-002	5.096436e-002	5.340576e-002	2.655029e-002	3.631592e-002	0.000000e+000	1.174927e-001	
-1.885986e-001	2.746582e-003	-1.983643e-002	-4.394531e-002	-9.277344e-002	-9.368896e-002	-1.226807e-001	3.936768e-002	2.593994e-002	6.866455e-002	5.401611e-002	6.042480e-002	3.265381e-002	4.119873e-002	0.000000e+000	1.165771e-001	
-1.794434e-001	-3.326416e-002	-2.563477e-002	-3.112793e-002	-7.904053e-002	-8.422852e-002	-1.171875e-001	4.180908e-002	1.464844e-002	6.134033e-002	5.310059e-002	6.408691e-002	3.753662e-002	4.577637e-002	0.000000e+000	1.156616e-001	
-1.718140e-001	-6.042480e-002	-3.845215e-002	-2.655029e-002	-6.835938e-002	-7.385254e-002	-1.101685e-001	4.608154e-002	7.629395e-003	5.401611e-002	4.974365e-002	6.500244e-002	4.180908e-002	5.035400e-002	0.000000e+000	1.153564e-001	
-1.654053e-001	-8.117676e-002	-5.432129e-002	-2.868652e-002	-6.134033e-002	-6.469727e-002	-1.022339e-001	5.096436e-002	3.356934e-003	4.791260e-002	4.516602e-002	6.408691e-002	4.333496e-002	5.401611e-002	0.000000e+000	1.150513e-001	
-1.602173e-001	-9.613037e-002	-7.019043e-002	-3.509521e-002	-5.828857e-002	-5.706787e-002	-9.429932e-002	5.706787e-002	6.103516e-004	4.333496e-002	4.058838e-002	6.134033e-002	4.364014e-002	5.615234e-002	3.051758e-004	1.150513e-001	
-1.544189e-001	-1.062012e-001	-8.453369e-002	-4.425049e-002	-5.859375e-002	-5.187988e-002	-8.758545e-002	6.378174e-002	-6.103516e-004	4.028320e-002	3.631592e-002	5.828857e-002	4.302979e-002	5.737305e-002	0.000000e+000	1.153564e-001	
-1.498413e-001	-1.123047e-001	-9.643555e-002	-5.401611e-002	-6.256104e-002	-4.974365e-002	-8.209229e-002	6.988525e-002	3.051758e-004	3.875732e-002	3.326416e-002	5.462646e-002	4.089355e-002	5.767822e-002	0.000000e+000	1.153564e-001	
-1.455688e-001	-1.138306e-001	-1.052856e-001	-6.408691e-002	-6.774902e-002	-5.004883e-002	-7.812500e-002	7.537842e-002	1.220703e-003	3.845215e-002	3.143311e-002	5.126953e-002	3.784180e-002	5.645752e-002	-3.051758e-004	1.150513e-001	
-1.416016e-001	-1.126099e-001	-1.113892e-001	-7.263184e-002	-7.446289e-002	-5.218506e-002	-7.629395e-002	7.995605e-002	2.441406e-003	3.875732e-002	3.021240e-002	4.943848e-002	3.570557e-002	5.462646e-002	-3.051758e-004	1.147461e-001	
-1.376343e-001	-1.086426e-001	-1.135254e-001	-7.965088e-002	-8.087158e-002	-5.584717e-002	-7.568359e-002	8.361816e-002	3.967285e-003	3.967285e-002	2.990723e-002	4.760742e-002	3.326416e-002	5.310059e-002	0.000000e+000	1.147461e-001	
-1.348877e-001	-1.040649e-001	-1.144409e-001	-8.453369e-002	-8.728027e-002	-6.042480e-002	-7.690430e-002	8.575439e-002	4.882813e-003	4.089355e-002	3.021240e-002	4.699707e-002	3.143311e-002	5.096436e-002	0.000000e+000	1.147461e-001	
-1.327515e-001	-9.857178e-002	-1.129150e-001	-8.758545e-002	-9.277344e-002	-6.530762e-002	-7.965088e-002	8.605957e-002	5.493164e-003	4.180908e-002	3.082275e-002	4.669189e-002	3.021240e-002	4.882813e-002	3.051758e-004	1.144409e-001	
-1.312256e-001	-9.338379e-002	-1.101685e-001	-8.880615e-002	-9.674072e-002	-6.988525e-002	-8.270264e-002	8.575439e-002	6.408691e-003	4.241943e-002	3.173828e-002	4.699707e-002	2.960205e-002	4.760742e-002	0.000000e+000	1.138306e-001	
-1.303101e-001	-8.941650e-002	-1.071167e-001	-8.850098e-002	-9.948730e-002	-7.385254e-002	-8.605957e-002	8.483887e-002	6.408691e-003	4.302979e-002	3.265381e-002	4.791260e-002	2.899170e-002	4.638672e-002	3.051758e-004	1.135254e-001	
-1.300049e-001	-8.697510e-002	-1.043701e-001	-8.728027e-002	-1.013184e-001	-7.690430e-002	-8.941650e-002	8.239746e-002	5.798340e-003	4.302979e-002	3.326416e-002	4.852295e-002	2.990723e-002	4.608154e-002	3.051758e-004	1.135254e-001	
-1.303101e-001	-8.728027e-002	-1.019287e-001	-8.605957e-002	-1.019287e-001	-7.934570e-002	-9.246826e-002	7.995605e-002	4.882813e-003	4.302979e-002	3.356934e-002	4.913330e-002	3.021240e-002	4.577637e-002	-3.051758e-004	1.135254e-001	
-1.309204e-001	-8.789063e-002	-1.010132e-001	-8.453369e-002	-1.019287e-001	-8.148193e-002	-9.521484e-002	7.751465e-002	4.272461e-003	4.211426e-002	3.326416e-002	4.943848e-002	3.082275e-002	4.608154e-002	0.000000e+000	1.132202e-001	
-1.315308e-001	-9.124756e-002	-1.010132e-001	-8.361816e-002	-1.016235e-001	-8.239746e-002	-9.735107e-002	7.537842e-002	2.746582e-003	4.119873e-002	3.265381e-002	4.943848e-002	3.082275e-002	4.638672e-002	-3.051758e-004	1.135254e-001	
-1.327515e-001	-9.552002e-002	-1.022339e-001	-8.331299e-002	-1.010132e-001	-8.331299e-002	-9.918213e-002	7.263184e-002	1.831055e-003	3.967285e-002	3.204346e-002	4.913330e-002	3.112793e-002	4.638672e-002	0.000000e+000	1.132202e-001	
-1.336670e-001	-1.000977e-001	-1.046753e-001	-8.392334e-002	-1.013184e-001	-8.361816e-002	-1.004028e-001	7.080078e-002	3.051758e-004	3.875732e-002	3.112793e-002	4.852295e-002	3.082275e-002	4.638672e-002	0.000000e+000	1.132202e-001	
-1.348877e-001	-1.049805e-001	-1.080322e-001	-8.544922e-002	-1.019287e-001	-8.392334e-002	-1.016235e-001	6.896973e-002	-3.051758e-004	3.753662e-002	2.960205e-002	4.791260e-002	3.051758e-002	4.638672e-002	0.000000e+000	1.132202e-001	
-1.358032e-001	-1.089478e-001	-1.113892e-001	-8.728027e-002	-1.025391e-001	-8.453369e-002	-1.025391e-001	6.713867e-002	-1.220703e-003	3.631592e-002	2.838135e-002	4.669189e-002	3.021240e-002	4.608154e-002	3.051758e-004	1.135254e-001	
-1.364136e-001	-1.113892e-001	-1.144409e-001	-8.972168e-002	-1.037598e-001	-8.514404e-002	-1.031494e-001	6.622314e-002	-1.831055e-003	3.570557e-002	2.746582e-002	4.547119e-002	2.929688e-002	4.608154e-002	0.000000e+000	1.129150e-001	
-1.373291e-001	-1.123047e-001	-1.171875e-001	-9.246826e-002	-1.055908e-001	-8.636475e-002	-1.040649e-001	6.500244e-002	-2.136230e-003	3.540039e-002	2.655029e-002	4.455566e-002	2.838135e-002	4.547119e-002	3.051758e-004	1.129150e-001	
-1.382446e-001	-1.116943e-001	-1.187134e-001	-9.429932e-002	-1.074219e-001	-8.758545e-002	-1.049805e-001	6.378174e-002	-2.746582e-003	3.509521e-002	2.624512e-002	4.394531e-002	2.746582e-002	4.486084e-002	0.000000e+000	1.129150e-001	
