Dev2/ai0	Dev2/ai1	Dev2/ai2	Dev2/ai3	Dev2/ai4	Dev2/ai5	Dev2/ai6	Dev2/ai7	Dev2/ai8	Dev2/ai9	Dev2/ai10	Dev2/ai11	Dev2/ai12	Dev2/ai13	Dev2/ai14	Dev2/ai15	
-3.390503e-001	-2.783203e-001	-2.908325e-001	-3.125000e-001	-3.973389e-001	-4.537964e-001	-5.160522e-001	-3.546143e-001	-1.812744e-001	-9.521484e-002	-1.251221e-002	1.452637e-001	3.170776e-001	5.361938e-001	0.000000e+000	1.083374e-001	
-3.466797e-001	-2.893066e-001	-2.969360e-001	-3.079224e-001	-3.823853e-001	-4.348755e-001	-5.010986e-001	-3.518677e-001	-1.864624e-001	-1.110840e-001	-4.547119e-002	9.368896e-002	2.468872e-001	4.550171e-001	-3.051758e-004	1.098633e-001	
-3.509521e-001	-2.981567e-001	-3.036499e-001	-3.057861e-001	-3.701782e-001	-4.177856e-001	-4.843140e-001	-3.454590e-001	-1.882935e-001	-1.226807e-001	-7.171631e-002	4.882813e-002	1.837158e-001	3.796387e-001	0.000000e+000	1.116943e-001	
-3.521729e-001	-3.051758e-001	-3.097534e-001	-3.051758e-001	-3.613281e-001	-4.022217e-001	-4.678345e-001	-3.350830e-001	-1.876831e-001	-1.306152e-001	-9.277344e-002	1.098633e-002	1.278687e-001	3.094482e-001	0.000000e+000	1.129150e-001	
-3.509521e-001	-3.097534e-001	-3.152466e-001	-3.060913e-001	-3.540039e-001	-3.890991e-001	-4.519653e-001	-3.231812e-001	-1.846313e-001	-1.348877e-001	-1.089478e-001	-2.044678e-002	7.873535e-002	2.456665e-001	-3.051758e-004	1.135254e-001	
-3.482056e-001	-3.128052e-001	-3.192139e-001	-3.070068e-001	-3.491211e-001	-3.775024e-001	-4.367065e-001	-3.100586e-001	-1.806641e-001	-1.364136e-001	-1.205444e-001	-4.577637e-002	3.662109e-002	1.879883e-001	0.000000e+000	1.144409e-001	
-3.436279e-001	-3.137207e-001	-3.219604e-001	-3.082275e-001	-3.451538e-001	-3.677368e-001	-4.226685e-001	-2.966309e-001	-1.757813e-001	-1.364136e-001	-1.284790e-001	-6.591797e-002	9.155273e-004	1.370239e-001	0.000000e+000	1.150513e-001	
-3.378296e-001	-3.128052e-001	-3.231812e-001	-3.085327e-001	-3.421021e-001	-3.588867e-001	-4.101563e-001	-2.832031e-001	-1.702881e-001	-1.339722e-001	-1.333618e-001	-8.148193e-002	-2.899170e-002	9.216309e-002	0.000000e+000	1.156616e-001	
-3.317261e-001	-3.109741e-001	-3.234863e-001	-3.085327e-001	-3.396606e-001	-3.515625e-001	-3.988647e-001	-2.700806e-001	-1.647949e-001	-1.309204e-001	-1.354980e-001	-9.277344e-002	-5.310059e-002	5.371094e-002	0.000000e+000	1.159668e-001	
-3.253174e-001	-3.073120e-001	-3.222656e-001	-3.082275e-001	-3.372192e-001	-3.457642e-001	-3.890991e-001	-2.578735e-001	-1.589966e-001	-1.266479e-001	-1.354980e-001	-1.007080e-001	-7.263184e-002	2.105713e-002	0.000000e+000	1.162720e-001	
-3.186035e-001	-3.033447e-001	-3.198242e-001	-3.063965e-001	-3.347778e-001	-3.399658e-001	-3.805542e-001	-2.468872e-001	-1.538086e-001	-1.220703e-001	-1.342773e-001	-1.062012e-001	-8.789063e-002	-6.713867e-003	-3.051758e-004	1.162720e-001	
-3.128052e-001	-2.987671e-001	-3.170776e-001	-3.045654e-001	-3.320313e-001	-3.347778e-001	-3.726196e-001	-2.365112e-001	-1.483154e-001	-1.171875e-001	-1.318359e-001	-1.086426e-001	-9.918213e-002	-2.929688e-002	0.000000e+000	1.162720e-001	
-3.067017e-001	-2.938843e-001	-3.128052e-001	-3.012085e-001	-3.289795e-001	-3.295898e-001	-3.652954e-001	-2.270508e-001	-1.434326e-001	-1.123047e-001	-1.284790e-001	-1.092529e-001	-1.074219e-001	-4.791260e-002	3.051758e-004	1.162720e-001	
-3.012085e-001	-2.886963e-001	-3.085327e-001	-2.978516e-001	-3.253174e-001	-3.244019e-001	-3.585815e-001	-2.182007e-001	-1.391602e-001	-1.077271e-001	-1.245117e-001	-1.086426e-001	-1.132202e-001	-6.225586e-002	-3.051758e-004	1.162720e-001	
-2.960205e-001	-2.832031e-001	-3.042603e-001	-2.938843e-001	-3.219604e-001	-3.198242e-001	-3.527832e-001	-2.102661e-001	-1.348877e-001	-1.034546e-001	-1.208496e-001	-1.071167e-001	-1.162720e-001	-7.293701e-002	0.000000e+000	1.162720e-001	
